gene_id,"(MEAN) Mated females (Rogers et al., 2009) virgin 0h","(MEAN) Mated females (Rogers et al., 2009) mated 2h","(MEAN) Mated females (Rogers et al., 2009) mated 6h","(MEAN) Mated females (Rogers et al., 2009) mated 24h"
AGAP011038,17.20105267517739,20.705519196248964,18.38019384699732,19.63156648539791
AGAP013390,,,,
AGAP013228,527.2049537102059,559.4893584435002,548.527413079676,618.0814577204958
AGAP004922,,,,
AGAP006759,29.996039723611013,30.185352213110285,25.635599978204038,30.151685940687468
AGAP005216,83.16301069757971,98.27891450198359,105.32007707060755,88.00438416525294
AGAP004929,739.4788065109072,665.0812224543564,834.4701781394572,662.227484002933
AGAP008783,222.80072823821567,218.23819604586603,352.2640485014194,285.81876870767456
AGAP008989,41.867461430215194,45.78516859826841,38.48528521326975,40.411388836092925
AGAP006347,22.25390606689241,22.60237239597048,21.27795738025397,23.247618932967274
AGAP007932,80.78188529110355,85.66912279255047,75.69835493434782,84.41768427073758
AGAP007378,48.64029123943219,43.78050300558598,55.87780137499831,54.221132969709934
AGAP012040,145.18363563650843,125.73188661754278,158.36904358651117,139.03875714735844
AGAP003498,46.040608340525075,43.94508764090248,39.90257871756972,47.0112230745625
AGAP004941,14.887090249947546,16.298494465617342,15.500648761910222,17.859339828142176
AGAP004942,332.37080590407595,275.9800275710688,326.4557431561372,311.4708331402944
AGAP004944,324.9930605634094,351.7768556740511,290.28439540984516,267.0161710647299
AGAP008353,61.91781034695151,60.76807259640648,58.66995356257042,67.30904092535165
AGAP004973,,,,
AGAP004947,,,,
AGAP000477,50.95343598495421,54.76585914559171,48.29181183074417,53.19836435593612
AGAP004949,18.670710018797593,18.89885265096547,17.940481042529154,18.8349466141798
AGAP003576,437.1410383563059,358.21700866860505,394.24447833610145,406.69589676111127
AGAP004951,20.566291936329364,20.539796357984084,17.96964404340414,18.17273104886927
AGAP004952,441.3517775551625,459.91712366166564,478.26181096048884,480.60799502255486
AGAP004953,184.6644643775197,181.87688295942797,202.9234330477281,185.51901808556164
AGAP004954,114.17002318744451,159.75714437140067,270.4834599884883,171.5061614868612
AGAP004955,333.9134382060567,367.6171025321356,332.10140496658914,280.3354481321835
AGAP004956,105.53150580072644,99.13595779972388,123.14578207321448,94.98580353755244
AGAP004957,158.0864559573604,135.1324233719496,167.4999321562856,157.0318562771439
AGAP004959,163.59161912417719,154.21185862019814,199.28922187062562,178.26667154935967
AGAP004960,671.3563568665131,685.4971406437683,861.9815400047303,778.1026419776159
AGAP004961,19.443421145976867,18.17714030314698,19.85283886791879,17.527763532205586
AGAP003437,71.88854698153314,87.60188920955751,76.14724964599958,80.84949100484164
AGAP003611,45.6353595517974,48.32596784201889,49.05789526349968,43.266144979124476
AGAP004964,,,,
AGAP004965,58.97002280626369,62.0883217929446,68.67881724447844,68.10174941893688
AGAP004968,18.434929856690363,21.63087274414549,19.550723320877726,20.165305202092224
AGAP004969,14.008203109223551,14.45987647643859,13.403116436650183,13.30687538786121
AGAP003446,59.90688744976614,58.77130662133954,72.96704995907098,59.52333753491896
AGAP004971,22.07145598914711,25.08170269390758,22.4742860552788,24.722165785931498
AGAP003578,515.1915122118918,549.0714567089012,548.279211361329,588.7086339412442
AGAP012778,29.172253584486313,31.312643135098657,29.205876800464036,32.800895263393976
AGAP004974,14.535815209137853,15.509497420261694,15.289012970990374,18.28662081551123
AGAP004975,22.78756695309346,23.44480825805024,22.169946306089265,25.623339609447076
AGAP013107,,,,
AGAP013291,191.79749463859508,242.25903459228905,251.2163833499147,228.39439169122267
AGAP004977,373.94576094385377,372.5706129840164,304.467276622063,547.7637120067985
AGAP004978,223.2791999713935,242.90136060735688,317.3145682021293,287.02780531575905
AGAP004979,,,,
AGAP013488,288.5725077783824,274.35500545614894,314.503768088803,282.03948516743276
AGAP004981,40.86701545143258,39.74798840015698,42.36937152770149,48.062062052343876
AGAP012362,260.13738548686143,251.625896673369,288.59981904104643,241.9429871014472
AGAP005674,249.24916391340992,247.52263517959372,214.1344800885701,286.63481530890596
AGAP004984,136.3159020898071,135.05345118193998,157.23260259356417,128.74566938605622
AGAP010624,408.46386247693033,417.56582168006463,510.26398957361306,410.39900074626604
AGAP004986,405.4556125157148,415.0448772826832,419.6541047375385,418.9700231125212
AGAP004987,1705.3768826749667,1778.6907936772066,1679.8500350968193,1856.7322485152458
AGAP004988,280.18087882677884,289.5810497516026,260.371328009158,262.6601318775571
AGAP002760,103.8415520946062,112.93744779631098,111.44772455879603,113.36383852908371
AGAP004990,602.8467290161251,621.1380462823541,740.4088056524865,707.2517494328674
AGAP004991,987.7553656799331,954.1045658613896,1108.8663309631604,1029.277593153132
AGAP004992,443.57069587872746,471.5368984227592,478.36783761145466,445.500532514094
AGAP004993,92.93048144962094,98.33717374966676,98.07883918790252,95.89209663286317
AGAP011643,77.91775654712673,87.99482470493581,67.82036365268391,84.37283043967773
AGAP004996,15.11139547003219,16.111622399754125,14.57559995328218,15.060071402610665
AGAP004997,,,,
AGAP004998,,,,
AGAP004999,,,,
AGAP005001,41.87203510719826,47.29043682442923,42.08770018619109,51.64857578298906
AGAP029777,118.54224138613245,121.9141349366281,105.6405507641456,114.1651366051401
AGAP001710,80.07999505645614,84.1536097006299,78.59224368663695,86.20572266585587
AGAP000767,44.79125213372318,40.04230910998377,43.20331242954296,50.82218621706621
AGAP005004,245.58866971864728,243.13603505354666,256.96892392311076,231.94411505470768
AGAP028006,208.10531014140966,197.16596138930382,146.0872746185794,180.3013850288927
AGAP011758,77.26188038912717,63.06816413579642,67.49957647909164,74.80347784949572
AGAP005007,354.98760743497303,313.2136391208419,407.3909060509754,281.58888184150476
AGAP004574,44.99523029473873,42.628508541573865,42.86277264829596,47.89235162975484
AGAP005009,512.6151649492109,505.69073388486584,422.76336773419894,634.3990054063428
AGAP011040,,,,
AGAP012027,,,,
AGAP005012,,,,
AGAP005013,,,,
AGAP029169,37.52226610683659,34.94651353209278,34.931501162576374,37.8830359226769
AGAP004265,237.53894015301213,239.242531967554,253.7763056441429,233.58004447641275
AGAP003204,71.90187188518199,73.84909412152582,67.41347455846469,68.90889533747455
AGAP005018,217.41457914154225,227.7256886526281,280.7197397242032,226.00799634013038
AGAP008324,131.20963784141173,125.67524384141157,132.04049848657422,108.82000571104261
AGAP001343,111.53828458859073,95.44910984124687,82.53380903967746,70.86854026957013
AGAP005021,,,,
AGAP005022,,,,
AGAP005023,,,,
AGAP005024,,,,
AGAP005025,,,,
AGAP005026,,,,
AGAP005027,,,,
AGAP005028,,,,
AGAP005029,201.55875445530296,176.6800754061005,193.72624357696617,200.73257960942678
AGAP008161,,,,
AGAP029728,68.46500265169392,67.2247299260535,87.14604964816664,64.39320651989694
AGAP010057,98.46506650338618,105.61163831285361,100.01077667821444,122.22762836864459
AGAP007985,23.253847562600978,24.017071834054825,23.344244440905996,24.271000560130794
AGAP011740,83.24691551653892,88.64065481910885,89.78359476046782,90.5228415496247
AGAP013078,146.34655085525642,134.74831133308447,168.23530689650576,126.6745983274523
AGAP005036,93.33944584795503,99.8066038751328,112.74606828228976,91.26627465983023
AGAP029784,204.72380507554715,221.81401180683733,333.50394295496034,258.91653217374113
AGAP009403,122.20270501281874,149.3249735490586,142.5258703253493,139.34363377709968
AGAP005038,52.6559687770414,64.50190600040195,55.784790789164106,72.09063220649767
AGAP011103,35.513361320092045,41.85592906957755,33.9584027379777,36.219883078115956
AGAP005041,,,,
AGAP009792,886.4250600185004,747.2497577641919,954.2233549538078,954.9776414397685
AGAP005044,370.4371217383208,322.23582270124626,430.590670468035,324.66543650932044
AGAP005045,,,,
AGAP005046,13496.050438023918,14205.548135459774,14379.905954099899,14371.267917764608
AGAP005047,13.157946866916825,13.224427649187245,13.058419467465246,13.237358769943125
AGAP005048,70.85744823514717,72.13187311591821,76.51213093862101,71.79509444268956
AGAP005049,82.32793295347784,85.2383082679907,116.12971728204703,80.12866669587754
AGAP005050,,,,
AGAP005051,,,,
AGAP005052,104.95229519827862,107.20958124686541,126.15439544125594,112.60600300138731
AGAP000894,62.79538850817489,60.402980250927335,60.168834866540415,66.3997344152868
AGAP005054,110.3853639559562,104.07454168184104,117.59150963809823,111.23678323002984
AGAP007804,53.890910369130474,56.20110316084035,59.85140954531506,53.394650411277844
AGAP000305,1262.3970116691614,1342.9591906433084,1086.3450905523325,1433.4077156974804
AGAP006606,,,,
AGAP011244,904.3735773817652,715.3340835089224,940.971315897923,646.1161866527764
AGAP004448,33.35497257532315,33.78661957913901,31.925117375052295,33.665213637393556
AGAP005059,,,,
AGAP005060,354.96308632200197,347.6359013865606,416.72350404031437,379.2477712783033
AGAP005061,17153.320541118745,17269.03779688884,17214.463158447455,16932.413086248464
AGAP005062,257.339087333888,226.80365159664126,258.4395872815605,287.5189770801434
AGAP013469,37.571452836962024,37.39499814831178,40.31905938310442,30.225618851840107
